Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,1-290,CHP,199,128,7,0,0,0,135,128,7,0,0,0,135
FA18,LM,1-290,CHP,395,2,38,0,0,0,40,6,114,0,0,0,120
FA18,LM,1-290,CHP,396,1,19,0,0,0,20,3,57,0,0,0,60
FA18,LM,1-290,GCL,124,19,0,0,0,0,19,57,0,0,0,0,57
FA18,LM,1-290,GCL,126,19,1,0,0,0,20,57,3,0,0,0,60
FA18,LM,1-290,GCL,143,24,1,0,0,0,25,72,3,0,0,0,75
FA18,LM,1-290,GCL,146,19,1,0,0,0,20,57,3,0,0,0,60
FA18,LM,1-290,GCL,148,23,0,0,0,0,23,69,0,0,0,0,69
FA18,LM,1-290,GCL,186,25,0,0,0,0,25,75,0,0,0,0,75
FA18,LM,1-290,GCL,188,23,0,0,0,0,23,69,0,0,0,0,69
FA18,LM,1-290,GCL,195,22,0,0,0,0,22,66,0,0,0,0,66
FA18,LM,1-290,GCL,199,11,0,0,0,0,11,33,0,0,0,0,33
FA18,LM,1-468,INFO,199,1,0,0,0,0,1,2,0,0,0,0,2
FA18,LM,1-468,INFO,202,11,109,0,0,0,120,33,327,0,0,0,360
FA18,LM,1-468,INFO,303,8,72,0,0,0,80,24,216,0,0,0,240
FA18,LM,1-468,INFO,399,0,16,0,0,0,16,0,42,0,0,0,42
FA18,LM,1-468,INFO,403,3,19,0,3,0,25,9,57,0,9,0,75
FA18,LM,1-468,INFO,490,9,102,0,6,11,128,27,306,0,20,33,386
FA18,LM,1-468,INFO,500,1,0,0,0,13,14,4,0,0,0,43,47
FA18,LM,1-468,INFO,510,0,0,0,0,8,8,0,0,0,0,32,32
FA18,LM,1-468,INFO,597,0,0,0,0,6,6,0,0,0,0,22,22
FA18,LM,1-468,INFO,599,0,0,0,0,26,26,0,0,0,0,230,230
,,,,,,,,,,,,,,,,
"2. By Term, Subject, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,1-290,CHP,100,128,7,0,0,0,135,128,7,0,0,0,135
FA18,LM,1-290,CHP,300,3,57,0,0,0,60,9,171,0,0,0,180
FA18,LM,1-290,GCL,100,185,3,0,0,0,188,555,9,0,0,0,564
FA18,LM,1-468,INFO,100,1,0,0,0,0,1,2,0,0,0,0,2
FA18,LM,1-468,INFO,200,11,109,0,0,0,120,33,327,0,0,0,360
FA18,LM,1-468,INFO,300,8,88,0,0,0,96,24,258,0,0,0,282
FA18,LM,1-468,INFO,400,12,121,0,9,11,153,36,363,0,29,33,461
FA18,LM,1-468,INFO,500,1,0,0,0,53,54,4,0,0,0,327,331
,,,,,,,,,,,,,,,,
3. By Term and Subject,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,1-290,CHP,All,131,64,0,0,0,195,137,178,0,0,0,315
FA18,LM,1-290,GCL,All,185,3,0,0,0,188,555,9,0,0,0,564
FA18,LM,1-468,INFO,All,33,318,0,9,64,424,99,948,0,29,360,"1,436.00"
,,,,,,,,,,,,,,,,
4. By Subject (All terms),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
All,LM,1-290,CHP,All,131,64,0,0,0,195,137,178,0,0,0,315
All,LM,1-290,GCL,All,185,3,0,0,0,188,555,9,0,0,0,564
All,LM,1-468,INFO,All,33,318,0,9,64,424,99,948,0,29,360,"1,436.00"
,,,,,,,,,,,,,,,,
"5. By Term, Department, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,1-290,All,100,313,10,0,0,0,323,683,16,0,0,0,699
FA18,LM,1-290,All,300,3,57,0,0,0,60,9,171,0,0,0,180
FA18,LM,1-468,All,100,1,0,0,0,0,1,2,0,0,0,0,2
FA18,LM,1-468,All,200,11,109,0,0,0,120,33,327,0,0,0,360
FA18,LM,1-468,All,300,8,88,0,0,0,96,24,258,0,0,0,282
FA18,LM,1-468,All,400,12,121,0,9,11,153,36,363,0,29,33,461
FA18,LM,1-468,All,500,1,0,0,0,53,54,4,0,0,0,327,331
,,,,,,,,,,,,,,,,
6. By Term and Department,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,1-290,All,All,316,67,0,0,0,383,692,187,0,0,0,879
FA18,LM,1-468,All,All,33,318,0,9,64,424,99,948,0,29,360,"1,436.00"
,,,,,,,,,,,,,,,,
"7. By Term, College, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,All,All,100,314,10,0,0,0,324,685,16,0,0,0,701
FA18,LM,All,All,200,11,109,0,0,0,120,33,327,0,0,0,360
FA18,LM,All,All,300,11,145,0,0,0,156,33,429,0,0,0,462
FA18,LM,All,All,400,12,121,0,9,11,153,36,363,0,29,33,461
FA18,LM,All,All,500,1,0,0,0,53,54,4,0,0,0,327,331
,,,,,,,,,,,,,,,,
8. By Term and College,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LM,All,All,All,349,385,0,9,64,807,791,"1,135.00",0,29,360,"2,315.00"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Division of Management Information,,,,,,,,,,,,,,,,
100 Swanlund Administration Building,,,,,,,,,,,,,,,,
"601 East John Street, MC304",,,,,,,,,,,,,,,,
"Champaign, IL 61820",,,,,,,,,,,,,,,,
phone: (217) 333-3551 | fax: (217) 244-2098 | email: dmi@illinois.edu,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
© Copyright 2018 University of Illinois Board of Trustees,,,,,,,,,,,,,,,,
