Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LC,1-249,VM,601,0,0,128,0,0,128,0,0,512,0,0,512
FA18,LC,1-249,VM,602,0,0,130,0,0,130,0,0,"1,235.00",0,0,"1,235.00"
FA18,LC,1-249,VM,605,0,0,135,0,0,135,0,0,"1,282.50",0,0,"1,282.50"
FA18,LC,1-249,VM,607,0,0,133,0,0,133,0,0,"1,330.00",0,0,"1,330.00"
FA18,LC,1-249,VM,609,0,0,155,0,0,155,0,0,"1,627.50",0,0,"1,627.50"
FA18,LC,1-249,VM,610,0,0,151,0,0,151,0,0,"1,585.50",0,0,"1,585.50"
FA18,LC,1-249,VM,614,0,0,123,0,0,123,0,0,984,0,0,984
FA18,LC,1-249,VM,615,0,0,121,0,0,121,0,0,968,0,0,968
FA18,LC,1-249,VM,620,0,0,65,0,0,65,0,0,65,0,0,65
FA18,LC,1-249,VM,622,0,0,12,0,0,12,0,0,24,0,0,24
FA18,LC,1-249,VM,626,0,0,66,0,0,66,0,0,66,0,0,66
FA18,LC,1-249,VM,635,0,0,24,0,0,24,0,0,48,0,0,48
FA18,LC,1-249,VM,643,0,0,48,0,0,48,0,0,48,0,0,48
FA18,LC,1-282,PATH,433,1,17,0,0,1,19,3,51,0,0,3,57
FA18,LC,1-282,PATH,517,0,0,0,4,8,12,0,0,0,16,32,48
FA18,LC,1-282,PATH,519,0,1,0,0,4,5,0,3,0,0,12,15
FA18,LC,1-282,PATH,527,0,0,0,7,2,9,0,0,0,7,2,9
FA18,LC,1-282,PATH,542,0,0,0,7,0,7,0,0,0,7,0,7
FA18,LC,1-282,PATH,545,0,0,0,5,0,5,0,0,0,25,0,25
FA18,LC,1-282,PATH,547,0,0,0,5,1,6,0,0,0,5,1,6
FA18,LC,1-282,PATH,551,0,0,0,13,1,14,0,0,0,13,1,14
FA18,LC,1-282,PATH,552,0,0,0,3,0,3,0,0,0,6,0,6
FA18,LC,1-282,PATH,556,0,0,0,2,0,2,0,0,0,4,0,4
FA18,LC,1-282,PATH,557,0,0,0,2,0,2,0,0,0,4,0,4
FA18,LC,1-282,PATH,558,0,0,0,4,0,4,0,0,0,4,0,4
FA18,LC,1-282,PATH,559,0,0,0,6,0,6,0,0,0,11,0,11
FA18,LC,1-282,PATH,590,0,0,0,1,1,2,0,0,0,1,1,2
FA18,LC,1-282,PATH,592,0,0,0,3,12,15,0,0,0,3,12,15
FA18,LC,1-282,PATH,598,0,0,0,1,1,2,0,0,0,4,8,12
FA18,LC,1-282,PATH,599,0,0,0,2,20,22,0,0,0,10,175,185
FA18,LC,1-282,PATH,639,0,0,15,0,0,15,0,0,15,0,0,15
FA18,LC,1-282,PATH,644,0,0,17,0,0,17,0,0,17,0,0,17
FA18,LC,1-598,VCM,501,0,0,0,3,0,3,0,0,0,6,0,6
FA18,LC,1-598,VCM,503,0,0,0,2,0,2,0,0,0,2,0,2
FA18,LC,1-598,VCM,506,0,0,0,2,0,2,0,0,0,2,0,2
FA18,LC,1-598,VCM,522,0,0,0,2,0,2,0,0,0,2,0,2
FA18,LC,1-598,VCM,535,0,0,0,8,0,8,0,0,0,8,0,8
FA18,LC,1-598,VCM,536,0,0,0,1,0,1,0,0,0,1,0,1
FA18,LC,1-598,VCM,577,0,0,1,1,0,2,0,0,1,1,0,2
FA18,LC,1-598,VCM,584,0,0,0,5,0,5,0,0,0,5,0,5
FA18,LC,1-598,VCM,585,0,0,0,2,0,2,0,0,0,2,0,2
FA18,LC,1-598,VCM,588,0,0,0,1,0,1,0,0,0,2,0,2
FA18,LC,1-598,VCM,590,0,0,0,6,0,6,0,0,0,9,0,9
FA18,LC,1-598,VCM,592,0,0,1,28,1,30,0,0,1,62,1,64
FA18,LC,1-598,VCM,593,0,0,1,23,1,25,0,0,1,49,1,51
FA18,LC,1-598,VCM,598,0,0,0,12,0,12,0,0,0,61,0,61
FA18,LC,1-598,VCM,599,0,0,0,13,0,13,0,0,0,62,0,62
FA18,LC,1-598,VCM,635,0,0,19,0,0,19,0,0,19,0,0,19
FA18,LC,1-598,VCM,636,0,0,40,0,0,40,0,0,80,0,0,80
FA18,LC,1-598,VCM,639,0,0,13,0,0,13,0,0,13,0,0,13
FA18,LC,1-598,VCM,643,0,0,20,0,0,20,0,0,20,0,0,20
FA18,LC,1-598,VCM,646,0,0,14,0,0,14,0,0,14,0,0,14
FA18,LC,1-598,VCM,648,0,0,10,0,0,10,0,0,30,0,0,30
FA18,LC,1-598,VCM,649,0,0,36,0,0,36,0,0,72,0,0,72
FA18,LC,1-598,VCM,656,0,0,13,0,0,13,0,0,13,0,0,13
FA18,LC,1-598,VCM,657,0,0,16,0,0,16,0,0,16,0,0,16
FA18,LC,1-598,VCM,660,0,0,25,0,0,25,0,0,25,0,0,25
FA18,LC,1-598,VCM,672,0,0,52,0,0,52,0,0,52,0,0,52
FA18,LC,1-598,VCM,681,0,0,19,0,0,19,0,0,19,0,0,19
FA18,LC,1-598,VCM,682,0,0,50,0,0,50,0,0,50,0,0,50
FA18,LC,1-598,VCM,686,0,0,97,0,0,97,0,0,97,0,0,97
FA18,LC,1-598,VCM,695,0,0,22,0,0,22,0,0,22,0,0,22
FA18,LC,1-873,CB,551,0,0,19,0,0,19,0,0,19,0,0,19
FA18,LC,1-873,CB,552,0,0,0,2,8,10,0,0,0,2,8,10
FA18,LC,1-873,CB,590,0,0,0,0,2,2,0,0,0,0,2,2
FA18,LC,1-873,CB,596,0,0,0,2,13,15,0,0,0,2,13,15
FA18,LC,1-873,CB,599,0,0,0,2,17,19,0,0,0,10,145,155
,,,,,,,,,,,,,,,,
"2. By Term, Subject, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LC,1-249,VM,600,0,0,"1,291.00",0,0,"1,291.00",0,0,"9,775.50",0,0,"9,775.50"
FA18,LC,1-282,PATH,400,1,17,0,0,1,19,3,51,0,0,3,57
FA18,LC,1-282,PATH,500,0,1,0,65,50,116,0,3,0,120,244,367
FA18,LC,1-282,PATH,600,0,0,32,0,0,32,0,0,32,0,0,32
FA18,LC,1-598,VCM,500,0,0,3,109,2,114,0,0,3,274,2,279
FA18,LC,1-598,VCM,600,0,0,446,0,0,446,0,0,542,0,0,542
FA18,LC,1-873,CB,500,0,0,19,6,40,65,0,0,19,14,168,201
,,,,,,,,,,,,,,,,
3. By Term and Subject,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LC,1-249,VM,All,0,0,"1,291.00",0,0,"1,291.00",0,0,"9,775.50",0,0,"9,775.50"
FA18,LC,1-282,PATH,All,1,18,32,65,51,167,3,54,32,120,247,456
FA18,LC,1-598,VCM,All,0,0,449,109,2,560,0,0,545,274,2,821
FA18,LC,1-873,CB,All,0,0,19,6,40,65,0,0,19,14,168,201
,,,,,,,,,,,,,,,,
4. By Subject (All terms),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
All,LC,1-249,VM,All,0,0,"1,291.00",0,0,"1,291.00",0,0,"9,775.50",0,0,"9,775.50"
All,LC,1-282,PATH,All,1,18,32,65,51,167,3,54,32,120,247,456
All,LC,1-598,VCM,All,0,0,449,109,2,560,0,0,545,274,2,821
All,LC,1-873,CB,All,0,0,19,6,40,65,0,0,19,14,168,201
,,,,,,,,,,,,,,,,
"5. By Term, Department, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LC,1-249,All,600,0,0,"1,291.00",0,0,"1,291.00",0,0,"9,775.50",0,0,"9,775.50"
FA18,LC,1-282,All,400,1,17,0,0,1,19,3,51,0,0,3,57
FA18,LC,1-282,All,500,0,1,0,65,50,116,0,3,0,120,244,367
FA18,LC,1-282,All,600,0,0,32,0,0,32,0,0,32,0,0,32
FA18,LC,1-598,All,500,0,0,3,109,2,114,0,0,3,274,2,279
FA18,LC,1-598,All,600,0,0,446,0,0,446,0,0,542,0,0,542
FA18,LC,1-873,All,500,0,0,19,6,40,65,0,0,19,14,168,201
,,,,,,,,,,,,,,,,
6. By Term and Department,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LC,1-249,All,All,0,0,"1,291.00",0,0,"1,291.00",0,0,"9,775.50",0,0,"9,775.50"
FA18,LC,1-282,All,All,1,18,32,65,51,167,3,54,32,120,247,456
FA18,LC,1-598,All,All,0,0,449,109,2,560,0,0,545,274,2,821
FA18,LC,1-873,All,All,0,0,19,6,40,65,0,0,19,14,168,201
,,,,,,,,,,,,,,,,
"7. By Term, College, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LC,All,All,400,1,17,0,0,1,19,3,51,0,0,3,57
FA18,LC,All,All,500,0,1,22,180,92,295,0,3,22,408,414,847
FA18,LC,All,All,600,0,0,"1,769.00",0,0,"1,769.00",0,0,"10,349.50",0,0,"10,349.50"
,,,,,,,,,,,,,,,,
8. By Term and College,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
