Division of Management Information Course Information System,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Enrollments and IUs by Course, Subject, and Offering Department",,,,,,,,,,,,,,,,
2018-19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018-19 courses are still in progress. Final figures will be available by the end of September.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1. By Term and Course,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,1-869,BSE,631,32,0,0,0,0,32,128,0,0,0,0,128
FA18,LT,1-869,BSE,632,32,0,0,0,0,32,96,0,0,0,0,96
FA18,LT,1-869,BSE,633,32,0,0,0,0,32,96,0,0,0,0,96
FA18,LT,1-869,CLE,611,32,0,0,0,0,32,192,0,0,0,0,192
FA18,LT,1-869,CLE,621,32,0,0,0,0,32,192,0,0,0,0,192
,,,,,,,,,,,,,,,,
"2. By Term, Subject, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,1-869,BSE,600,96,0,0,0,0,96,320,0,0,0,0,320
FA18,LT,1-869,CLE,600,64,0,0,0,0,64,384,0,0,0,0,384
,,,,,,,,,,,,,,,,
3. By Term and Subject,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,1-869,BSE,All,96,0,0,0,0,96,320,0,0,0,0,320
FA18,LT,1-869,CLE,All,64,0,0,0,0,64,384,0,0,0,0,384
,,,,,,,,,,,,,,,,
4. By Subject (All terms),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Course,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
All,LT,1-869,BSE,All,96,0,0,0,0,96,320,0,0,0,0,320
All,LT,1-869,CLE,All,64,0,0,0,0,64,384,0,0,0,0,384
,,,,,,,,,,,,,,,,
"5. By Term, Department, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,1-869,All,600,160,0,0,0,0,160,704,0,0,0,0,704
,,,,,,,,,,,,,,,,
6. By Term and Department,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,1-869,All,All,160,0,0,0,0,160,704,0,0,0,0,704
,,,,,,,,,,,,,,,,
"7. By Term, College, and Level",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,All,All,600,160,0,0,0,0,160,704,0,0,0,0,704
,,,,,,,,,,,,,,,,
8. By Term and College,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Term,College,Dept,Subject,Level,Course Enrollment by student level,,,,,,IUs by student level,,,,,
,,,,,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total,Fr/,Junior/,Profnl,Grad 1,Grad 2,Total
,,,,,Soph,Senior,,,,,Soph,Senior,,,,
FA18,LT,All,All,All,160,0,0,0,0,160,704,0,0,0,0,704
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Division of Management Information,,,,,,,,,,,,,,,,
100 Swanlund Administration Building,,,,,,,,,,,,,,,,
"601 East John Street, MC304",,,,,,,,,,,,,,,,
"Champaign, IL 61820",,,,,,,,,,,,,,,,
phone: (217) 333-3551 | fax: (217) 244-2098 | email: dmi@illinois.edu,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
© Copyright 2018 University of Illinois Board of Trustees,,,,,,,,,,,,,,,,
